Date,Open,High,Low,Close,Volume,MarketCap
2019-01-29,6.22,6.31,6.06,6.18,49291811,798520266
2019-01-30,6.17,6.22,6.06,6.17,41310644,797597771
2019-01-31,6.17,6.33,6.03,6.27,52240451,809728264
2019-02-01,6.26,6.65,6.17,6.56,56050947,847729319
2019-02-02,6.55,6.89,6.53,6.89,56627089,890238048
2019-02-03,6.89,6.92,6.62,6.74,59942158,870405723
2019-02-04,6.77,7.17,6.7,7.1,71959989,917210595
2019-02-05,7.06,7.91,6.96,7.82,96588397,1010127808
2019-02-06,7.86,8.47,7.41,8.09,118867601,1141569622
2019-02-07,8.1,8.43,7.7,7.73,86056681,1091332443
2019-02-08,7.78,8.83,7.65,8.58,103694036,1210659827
2019-02-09,8.6,8.93,8.47,8.87,106420119,1252418196
2019-02-10,8.86,9.34,8.86,9.21,125419865,1300443647
2019-02-11,9.19,9.82,9.15,9.55,136029624,1348481387
2019-02-12,9.53,9.75,8.98,9.34,123194872,1318830505
2019-02-13,9.33,9.33,8.79,8.94,95068052,1262260337
2019-02-14,8.93,9.07,8.46,8.78,72389547,1239809925
2019-02-15,8.82,9.51,8.78,9.27,83961438,1309237748
2019-02-16,9.32,9.34,9.08,9.13,65705040,1288826514
2019-02-17,9.13,9.22,8.92,9.22,66977126,1301079823
2019-02-18,9.22,9.74,9.18,9.63,79003060,1360146167
2019-02-19,9.65,11.11,9.58,10.56,128091178,1491247773
2019-02-20,10.52,11.32,10.52,10.97,118033473,1548138352
2019-02-21,10.99,10.99,10.23,10.49,85754656,1481339199
2019-02-22,10.45,10.99,10.43,10.84,82256314,1529935070
2019-02-23,10.82,10.87,10.46,10.78,81628102,1522126090
2019-02-24,10.8,11.09,9.62,10.11,113588899,1427720907
2019-02-25,10.07,10.29,9.54,9.84,146043498,1389450859
2019-02-26,9.82,9.87,9.45,9.52,88437694,1344215777
2019-02-27,9.52,10.12,9.44,9.9,93800328,1397514790
2019-02-28,9.91,10.55,9.89,10.37,100626963,1463309043
2019-03-01,10.36,11.61,10.33,11.39,117838677,1608442973
2019-03-02,11.38,11.92,10.96,11.87,120807894,1675716941
2019-03-03,11.85,11.96,11.35,11.54,89868246,1628869047
2019-03-04,11.54,11.6,11.07,11.55,89421231,1630004462
2019-03-05,11.52,13.84,11.52,13.81,237026335,1949911246
2019-03-06,13.75,14.56,13.11,14.52,191016822,2049578132
2019-03-07,14.53,15.65,14.44,15.15,236520320,2138227830
2019-03-08,15.23,15.32,13.76,14.37,227303083,2028259194
2019-03-09,14.28,14.95,14.11,14.57,160640089,2056345113
2019-03-10,14.57,14.6,14.07,14.49,140866074,2046259504
2019-03-11,14.5,14.97,14.22,14.51,152327295,2049079581
2019-03-12,14.5,15.51,14.32,15.41,169525508,2174968137
2019-03-13,15.43,15.45,15.1,15.12,145402739,2133885107
2019-03-14,15.12,15.23,14.75,15.05,137039682,2124846987
2019-03-15,15.03,15.3,15.01,15.08,124146334,2128517331
2019-03-16,15.05,16.16,15.02,16.12,143423670,2275609084
2019-03-17,16.09,16.1,15.68,15.76,131687083,2225087469
2019-03-18,15.75,15.94,15.4,15.68,132882167,2213915702
2019-03-19,15.68,16.01,15.41,15.69,216950178,2215550960
2019-03-20,15.69,15.72,15.18,15.28,136054765,2157164802
2019-03-21,15.28,15.45,14.34,14.52,152779939,2049500112
2019-03-22,14.5,15.32,14.39,15.27,149753510,2155244843
2019-03-23,15.25,15.55,15.1,15.24,143128548,2150949042
2019-03-24,15.24,17.38,14.92,17.29,314554203,2440268717
2019-03-25,17.25,17.42,16.22,16.84,199413830,2377537598
2019-03-26,16.76,16.83,15.78,16.34,186112032,2306195308
2019-03-27,16.29,16.96,16.05,16.78,202275822,2369114351
2019-03-28,16.78,16.91,16.61,16.81,189454288,2372500772
2019-03-29,16.8,16.9,16.45,16.51,172002338,2330827187
2019-03-30,16.49,17.24,16.07,16.93,182021376,2390413470
2019-03-31,16.93,17.57,16.77,17.4,199990283,2456689309
2019-04-01,17.41,18.06,17.29,17.95,202977286,2534170929
2019-04-02,17.96,19.92,17.69,19.79,264406306,2793832257
2019-04-03,19.8,20.07,18.43,18.75,254862222,2647473022
2019-04-04,18.74,19.55,18.45,19.14,214630296,2702478307
2019-04-05,19.14,19.53,18.94,19.45,181774781,2746352773
2019-04-06,19.46,19.47,18.89,19.12,155317547,2698658298
2019-04-07,19.11,19.27,18.91,19.11,149525473,2697901876
2019-04-08,19.08,19.09,18.07,18.11,178255322,2557210855
2019-04-09,18.11,18.64,17.32,18.44,203380139,2602577566
2019-04-10,18.43,18.69,18.12,18.25,180291307,2576252115
2019-04-11,18.28,18.29,16.59,17.7,159364357,2498873860
2019-04-12,17.69,18.63,16.81,18.43,171773154,2602467119
2019-04-13,18.44,18.72,18.15,18.72,167393154,2642776671
2019-04-14,18.71,20.01,18.53,19.49,189084742,2751795497
2019-04-15,19.49,19.9,18.89,19.4,176699111,2739147032
2019-04-16,19.39,19.86,18.79,19.83,174830782,2799150875
2019-04-17,19.83,19.89,19.43,19.6,186563033,2767512515
2019-04-18,19.59,22.08,19.54,22.04,376729341,3111293099
2019-04-19,22.03,24.8,21.32,24.48,397681147,3455309687
